Country;NUTS3;Source;EuroSPORES;
AL;;GADM;ALB_1;
AT;AT322;NUTS3;AUT_1;
AT;AT342;NUTS3;AUT_1;
AT;AT323;NUTS3;AUT_1;
AT;AT335;NUTS3;AUT_1;
AT;AT321;NUTS3;AUT_1;
AT;AT333;NUTS3;AUT_1;
AT;AT211;NUTS3;AUT_1;
AT;AT331;NUTS3;AUT_1;
AT;AT341;NUTS3;AUT_1;
AT;AT212;NUTS3;AUT_1;
AT;AT332;NUTS3;AUT_1;
AT;AT334;NUTS3;AUT_1;
AT;AT314;NUTS3;AUT_2;
AT;AT315;NUTS3;AUT_2;
AT;AT313;NUTS3;AUT_2;
AT;AT312;NUTS3;AUT_2;
AT;AT224;NUTS3;AUT_2;
AT;AT311;NUTS3;AUT_2;
AT;AT223;NUTS3;AUT_2;
AT;AT222;NUTS3;AUT_2;
AT;AT225;NUTS3;AUT_2;
AT;AT226;NUTS3;AUT_2;
AT;AT213;NUTS3;AUT_2;
AT;AT221;NUTS3;AUT_2;
AT;AT111;NUTS3;AUT_3;
AT;AT112;NUTS3;AUT_3;
AT;AT122;NUTS3;AUT_3;
AT;AT123;NUTS3;AUT_3;
AT;AT124;NUTS3;AUT_3;
AT;AT121;NUTS3;AUT_3;
AT;AT130;NUTS3;AUT_3;
AT;AT126;NUTS3;AUT_3;
AT;AT127;NUTS3;AUT_3;
AT;AT125;NUTS3;AUT_3;
AT;AT113;NUTS3;AUT_3;
BA;;GADM;BIH_1;
BE;;NUTS0;BEL_1;
BG;;NUTS0;BGR_1;
CH;CH040;NUTS3;CHE_1;
CH;CH033;NUTS3;CHE_1;
CH;CH052;NUTS3;CHE_1;
CH;CH031;NUTS3;CHE_1;
CH;CH066;NUTS3;CHE_1;
CH;CH063;NUTS3;CHE_1;
CH;CH064;NUTS3;CHE_1;
CH;CH013;NUTS3;CHE_1;
CH;CH023;NUTS3;CHE_1;
CH;CH024;NUTS3;CHE_1;
CH;CH022;NUTS3;CHE_1;
CH;CH025;NUTS3;CHE_1;
CH;CH057;NUTS3;CHE_1;
CH;CH053;NUTS3;CHE_1;
CH;CH032;NUTS3;CHE_1;
CH;CH054;NUTS3;CHE_1;
CH;CH061;NUTS3;CHE_1;
CH;CH065;NUTS3;CHE_1;
CH;CH055;NUTS3;CHE_1;
